id,key,udi,name,contentTypeAlias,published,hasPublishedVersion,createDate,updateDate,publishDate,releaseDate,removeDate,ownerName,ownerId,updaterName,updaterId,parentId,sortOrder,urls,purchasePrice,access,rentalPrice,code,metaDescription,metaTitle,type,videoDownloadURL,rawFile,videoStatus,hidden,videoThumbnailURL,videoID,openWebContentInNewWindows,trailer,openWebContentFromList,webContentURL,orderID,videoSize,productLink,expandedDescription,production,year,description,productionLink,thumbnail,title,badge,length,tags,hidePlay,hideDownload,siteMapOption,thumbnailCrops,thumbnailWide,thumbnailHigh
"67520","38198da2-d114-4667-972b-1b7525d60685","umb://document/38198da2d1144667972b1b7525d60685","Sit på afstand","media","true","true","2022-07-04 15:32:43","2022-07-04 17:18:34","2022-07-04 17:18:34","","","Martin H. Schläger","0","Martin H. Schläger","0","67516","0","[""Dette dokument er udgivet, men dets url ville kollidere med indholdet /Kiibee/Hundedamen/Styring af din hund på afstand/Sit på afstand (id=22641)""]","","[""57""]","","","","","[""264""]","","","","0","","","0","","0","https://vimeo.com/manage/videos/483059458","0","","","","Hundedamen.dk","0","På denne video lærer du, hvordan du trinvis lærer din hund at sitte på afstand. Når vi Shaper vores hunde, er det vigtigt at vi ikke bruger ordet ""NEJ"", såfremt vores hund ikke udfører det vi beder den om, da den ikke ved hvad den gør forkert samt er i en indlærings proces.","","/media/4121/sit.jpg","Sit på afstand","","0","Hundetræning,onlinekursus,Hundedamen","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/4121/sit.jpg?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/4121/sit.jpg?crop=High""}]","/media/4121/sit.jpg?crop=Wide","/media/4121/sit.jpg?crop=High"
"67527","50b1d655-3b27-4da5-994a-0cc4dd8c3de9","umb://document/50b1d6553b274da5994a0cc4dd8c3de9","Dæk på afstand","media","true","true","2022-07-04 15:33:55","2022-07-04 17:18:53","2022-07-04 17:18:53","","","Martin H. Schläger","0","Martin H. Schläger","0","67516","1","[""Dette dokument er udgivet, men dets url ville kollidere med indholdet /Kiibee/Hundedamen/Styring af din hund på afstand/Dæk på afstand  (id=22644)""]","","[""57""]","","","","","[""264""]","","","","0","","","0","","0","https://vimeo.com/manage/videos/483059291","1","","","","","0","På denne video lærer du, hvordan du trinvis kan lære din hund at blive dækket af på afstand. Husk at øve dette trinvis og ikke bruge ordet ""Nej"", såfremt den selv mindsker afstanden. Dette betyder at du, som ejer, har valgt en for lang afstand og må derfor starte forfra med den rigtige afstand.
Når vi Shaper vores hunde, er det vigtigt at vi ikke bruger ordet nej, såfremt vores hund ikke udfører det vi beder den om, da den ikke ved hvad den gør forkert samt er i en indlærings proces.","","/media/4122/daek.jpg","Dæk på afstand","","0","Hundetræning,onlinekursus,Hundedamen","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/4122/daek.jpg?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/4122/daek.jpg?crop=High""}]","/media/4122/daek.jpg?crop=Wide","/media/4122/daek.jpg?crop=High"
