id,key,udi,name,contentTypeAlias,published,hasPublishedVersion,createDate,updateDate,publishDate,releaseDate,removeDate,ownerName,ownerId,updaterName,updaterId,parentId,sortOrder,urls,purchasePrice,access,rentalPrice,code,metaDescription,metaTitle,type,videoDownloadURL,rawFile,videoStatus,hidden,videoThumbnailURL,videoID,openWebContentInNewWindows,trailer,openWebContentFromList,webContentURL,orderID,videoSize,productLink,expandedDescription,production,year,description,productionLink,thumbnail,title,badge,length,tags,hidePlay,hideDownload,siteMapOption,thumbnailCrops,thumbnailWide,thumbnailHigh
"33180","a9abf8b4-d42c-4467-93be-d629e6959714","umb://document/a9abf8b4d42c446793bed629e6959714","Håb","media","true","true","2021-02-04 18:38:04","2022-03-08 22:30:32","2022-03-08 22:30:32","","","Martin H. Schläger","0","Martin H. Schläger","0","33169","0","[""/chief1/nye-musikvideoer/haab/""]","","[""57""]","","","","","[""73""]","https://videodelivery.net/e9a2a06191ea1d2768a67ef4e4360289/downloads/default.mp4","","ready","0","https://videodelivery.net/e9a2a06191ea1d2768a67ef4e4360289/thumbnails/thumbnail.jpg","e9a2a06191ea1d2768a67ef4e4360289","0","","0","","0","162407879","","","Videoen er lavet af Nicho Oppermann","2021","Chief 1 feat. Mathilde Falch 
I disse tider bliver vores tro og håb udfordret kraftigt.
Vi vakler, falder og rejser os igen og igen og vi skal tit helt derud hvor vi næsten ikke kan bunde førend vi forstår hvad det vil sige at have fodfæste.
Verden udfordrer vores empati, hvor meget har vi tilbage ? Tør vi tro på den rene naive følelse som kærligheden er ?
Vi kan miste alt men vi må aldrig miste håbet 🙏
Her er min nye sang.
Den har jeg lavet og sunget sammen med den fantastiske og sindssygt dygtige Mathilde Falch.
Vi har længe snakket om at lave noget sammen. Nu er det sket og vi er meget glade over resultatet .
Kh
Chief 1 & Mathilde Falch
","","/media/2950/skaermbillede-2021-02-04-kl-182544.png","Håb","Nyhed","0","Håb,Chief 1 & Mathilde Falch","0","1","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/2950/skaermbillede-2021-02-04-kl-182544.png?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/2950/skaermbillede-2021-02-04-kl-182544.png?crop=High""}]","/media/2950/skaermbillede-2021-02-04-kl-182544.png?crop=Wide","/media/2950/skaermbillede-2021-02-04-kl-182544.png?crop=High"
"33223","aba435a6-a53f-4417-aa29-5adb59729f00","umb://document/aba435a6a53f4417aa295adb59729f00","Alle går i blinde","media","true","true","2021-02-04 19:37:18","2022-03-08 22:30:35","2022-03-08 22:30:35","","","Martin H. Schläger","0","Martin H. Schläger","0","33169","1","[""/chief1/nye-musikvideoer/alle-gaar-i-blinde/""]","","[""57""]","","","","","[""73""]","https://videodelivery.net/9cbd67f5fbb90ce472f8cb4bff63ebe3/downloads/default.mp4","","ready","0","https://videodelivery.net/9cbd67f5fbb90ce472f8cb4bff63ebe3/thumbnails/thumbnail.jpg","9cbd67f5fbb90ce472f8cb4bff63ebe3","0","","0","","1","80472990","","","Videoen er lavet af Nicho Oppermann","2021","Jeg starter året 2021 med denne nye sang. I det forgangne år er det gået op for mig hvor meget vi som mennesker har brug for hinanden. Ensomheden har haglet ned over rigtigt mange i 2020 og vi forstår nu for alvor meningen med nærvær og fordybelse.Afstand kan være ulidelig og følelsen i at mange omkring een er sig selv nærmest er håbløs når alt man i virkeligheden savner og mangler er et kram , et kys , et smil eller en hånd på skulderen som i ..Du er ikke alene.
Denne sang handler om hvad der sker når vi glemmer hinanden.

""Alle går i blinde"" er skrevet af Chief 1-Nermin Harambasic- Chris Young - Gabriel Brandes og Produceret og mixet af Chief 1 
","","/media/2952/skaermbillede-2021-02-04-kl-183910.png","Alle går i blinde","Nyhed","0","Chief1,Blind Final","0","1","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/2952/skaermbillede-2021-02-04-kl-183910.png?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/2952/skaermbillede-2021-02-04-kl-183910.png?crop=High""}]","/media/2952/skaermbillede-2021-02-04-kl-183910.png?crop=Wide","/media/2952/skaermbillede-2021-02-04-kl-183910.png?crop=High"
