id,key,udi,name,contentTypeAlias,published,hasPublishedVersion,createDate,updateDate,publishDate,releaseDate,removeDate,ownerName,ownerId,updaterName,updaterId,parentId,sortOrder,urls,salesAmount,transactionFee,kiibeeCut,rentAmount,from,rawEarnings,amount,isPaid,to,transactionAmount,kiibeeCutAmount
"97470","315a1f3a-d920-4eda-89cf-928124725d87","umb://document/315a1f3ad9204eda89cf928124725d87","KBF-1527","payout","true","true","2024-05-29 16:21:28","2024-05-31 10:17:30","","","","","","","","14667","2","[""/songs-of-jacob-elk/payouts/kbf-1527/""]","3","6","20","0","2022-12-28 10:28:57","297","219.18","true","2024-05-29 16:21:20","17.82","60"
"76277","8189f69c-6b28-475d-91b7-5e461192bbb2","umb://document/8189f69c6b28475d91b75e461192bbb2","KBF-1361","payout","true","true","2022-12-28 10:29:04","2022-12-29 10:04:23","","","","","","","","14667","1","[""/songs-of-jacob-elk/payouts/kbf-1361/""]","19","5","10","2","2020-08-15 06:59:21","1625","1333.75","true","2022-12-28 10:28:57","81.25","210"
"18916","4ef80708-d0e5-4c99-872a-71bc2b1f368b","umb://document/4ef80708d0e54c99872a71bc2b1f368b","KBF-1056","payout","true","true","2020-08-15 06:59:47","2020-08-18 09:50:08","","","","","","","","14667","0","[""/songs-of-jacob-elk/payouts/kbf-1056/""]","","","","","2020-05-13 08:20:02","","1499.49","true","2020-08-15 06:59:21","",""
